Site Name ,SANT-ANGELO-10M
Site Number ,3
Logger ,Integrating Light Sensor
Logger Serial Number ,13340


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

408,15/09/2023 , 16:00:00,1648,102.16
409,15/09/2023 , 16:15:00,1638,101.54
410,15/09/2023 , 16:30:00,1322,81.95
411,15/09/2023 , 16:45:00,1236,76.62
412,15/09/2023 , 17:00:00,1089,67.51
413,15/09/2023 , 17:15:00,848,52.57
414,15/09/2023 , 17:30:00,663,41.1
415,15/09/2023 , 17:45:00,516,31.99
416,15/09/2023 , 18:00:00,394,24.42
417,15/09/2023 , 18:15:00,285,17.67
418,15/09/2023 , 18:30:00,200,12.4
419,15/09/2023 , 18:45:00,107,6.63
420,15/09/2023 , 19:00:00,59,3.66
421,15/09/2023 , 19:15:00,17,1.05
422,15/09/2023 , 19:30:00,1,0.06
423,15/09/2023 , 19:45:00,0,0
424,15/09/2023 , 20:00:00,0,0
425,15/09/2023 , 20:15:00,0,0
426,15/09/2023 , 20:30:00,0,0
427,15/09/2023 , 20:45:00,0,0
428,15/09/2023 , 21:00:00,0,0
429,15/09/2023 , 21:15:00,0,0
430,15/09/2023 , 21:30:00,0,0
431,15/09/2023 , 21:45:00,0,0
432,15/09/2023 , 22:00:00,0,0
433,15/09/2023 , 22:15:00,0,0
434,15/09/2023 , 22:30:00,0,0
435,15/09/2023 , 22:45:00,0,0
436,15/09/2023 , 23:00:00,0,0
437,15/09/2023 , 23:15:00,0,0
438,15/09/2023 , 23:30:00,0,0
439,15/09/2023 , 23:45:00,0,0
440,15/09/2023 , 24:00:00,0,0
441,16/09/2023 , 00:15:00,0,0
442,16/09/2023 , 00:30:00,0,0
443,16/09/2023 , 00:45:00,0,0
444,16/09/2023 , 01:00:00,0,0
445,16/09/2023 , 01:15:00,0,0
446,16/09/2023 , 01:30:00,0,0
447,16/09/2023 , 01:45:00,0,0
448,16/09/2023 , 02:00:00,0,0
449,16/09/2023 , 02:15:00,0,0
450,16/09/2023 , 02:30:00,0,0
451,16/09/2023 , 02:45:00,0,0
452,16/09/2023 , 03:00:00,0,0
453,16/09/2023 , 03:15:00,0,0
454,16/09/2023 , 03:30:00,0,0
455,16/09/2023 , 03:45:00,0,0
456,16/09/2023 , 04:00:00,0,0
457,16/09/2023 , 04:15:00,0,0
458,16/09/2023 , 04:30:00,0,0
459,16/09/2023 , 04:45:00,0,0
460,16/09/2023 , 05:00:00,0,0
461,16/09/2023 , 05:15:00,0,0
462,16/09/2023 , 05:30:00,0,0
463,16/09/2023 , 05:45:00,0,0
464,16/09/2023 , 06:00:00,0,0
465,16/09/2023 , 06:15:00,0,0
466,16/09/2023 , 06:30:00,0,0
467,16/09/2023 , 06:45:00,0,0
468,16/09/2023 , 07:00:00,24,1.49
469,16/09/2023 , 07:15:00,84,5.21
470,16/09/2023 , 07:30:00,153,9.48
471,16/09/2023 , 07:45:00,165,10.23
472,16/09/2023 , 08:00:00,152,9.42
473,16/09/2023 , 08:15:00,219,13.58
474,16/09/2023 , 08:30:00,298,18.47
475,16/09/2023 , 08:45:00,463,28.7
476,16/09/2023 , 09:00:00,351,21.76
477,16/09/2023 , 09:15:00,423,26.22
478,16/09/2023 , 09:30:00,558,34.59
479,16/09/2023 , 09:45:00,706,43.77
480,16/09/2023 , 10:00:00,806,49.96
481,16/09/2023 , 10:15:00,1001,62.05
482,16/09/2023 , 10:30:00,1143,70.85
483,16/09/2023 , 10:45:00,1007,62.42
484,16/09/2023 , 11:00:00,1115,69.12
485,16/09/2023 , 11:15:00,1080,66.95
486,16/09/2023 , 11:30:00,1255,77.8
487,16/09/2023 , 11:45:00,1397,86.6
488,16/09/2023 , 12:00:00,1489,92.3
489,16/09/2023 , 12:15:00,1714,106.25
490,16/09/2023 , 12:30:00,1378,85.42
491,16/09/2023 , 12:45:00,1396,86.54
492,16/09/2023 , 13:00:00,929,57.59
493,16/09/2023 , 13:15:00,656,40.67
494,16/09/2023 , 13:30:00,673,41.72
495,16/09/2023 , 13:45:00,1110,68.81
496,16/09/2023 , 14:00:00,1174,72.78
497,16/09/2023 , 14:15:00,1082,67.07
498,16/09/2023 , 14:30:00,677,41.97
499,16/09/2023 , 14:45:00,559,34.65
500,16/09/2023 , 15:00:00,624,38.68
501,16/09/2023 , 15:15:00,724,44.88
502,16/09/2023 , 15:30:00,921,57.09
503,16/09/2023 , 15:45:00,747,46.31
504,16/09/2023 , 16:00:00,501,31.06
505,16/09/2023 , 16:15:00,464,28.76
506,16/09/2023 , 16:30:00,327,20.27
507,16/09/2023 , 16:45:00,164,10.17
508,16/09/2023 , 17:00:00,132,8.18
509,16/09/2023 , 17:15:00,176,10.91
510,16/09/2023 , 17:30:00,252,15.62
511,16/09/2023 , 17:45:00,266,16.49
512,16/09/2023 , 18:00:00,432,26.78
513,16/09/2023 , 18:15:00,410,25.42
514,16/09/2023 , 18:30:00,249,15.44
515,16/09/2023 , 18:45:00,130,8.06
516,16/09/2023 , 19:00:00,59,3.66
517,16/09/2023 , 19:15:00,16,0.99
518,16/09/2023 , 19:30:00,0,0
519,16/09/2023 , 19:45:00,0,0
520,16/09/2023 , 20:00:00,0,0
521,16/09/2023 , 20:15:00,0,0
522,16/09/2023 , 20:30:00,0,0
523,16/09/2023 , 20:45:00,0,0
524,16/09/2023 , 21:00:00,0,0
525,16/09/2023 , 21:15:00,0,0
526,16/09/2023 , 21:30:00,0,0
527,16/09/2023 , 21:45:00,0,0
528,16/09/2023 , 22:00:00,0,0
529,16/09/2023 , 22:15:00,0,0
530,16/09/2023 , 22:30:00,0,0
531,16/09/2023 , 22:45:00,0,0
532,16/09/2023 , 23:00:00,0,0
533,16/09/2023 , 23:15:00,0,0
534,16/09/2023 , 23:30:00,0,0
535,16/09/2023 , 23:45:00,0,0
536,16/09/2023 , 24:00:00,0,0
537,17/09/2023 , 00:15:00,0,0
538,17/09/2023 , 00:30:00,0,0
539,17/09/2023 , 00:45:00,0,0
540,17/09/2023 , 01:00:00,0,0
541,17/09/2023 , 01:15:00,0,0
542,17/09/2023 , 01:30:00,0,0
543,17/09/2023 , 01:45:00,0,0
544,17/09/2023 , 02:00:00,0,0
545,17/09/2023 , 02:15:00,0,0
546,17/09/2023 , 02:30:00,0,0
547,17/09/2023 , 02:45:00,0,0
548,17/09/2023 , 03:00:00,0,0
549,17/09/2023 , 03:15:00,0,0
550,17/09/2023 , 03:30:00,0,0
551,17/09/2023 , 03:45:00,0,0
552,17/09/2023 , 04:00:00,0,0
553,17/09/2023 , 04:15:00,0,0
554,17/09/2023 , 04:30:00,0,0
555,17/09/2023 , 04:45:00,0,0
556,17/09/2023 , 05:00:00,0,0
557,17/09/2023 , 05:15:00,0,0
558,17/09/2023 , 05:30:00,0,0
559,17/09/2023 , 05:45:00,0,0
560,17/09/2023 , 06:00:00,0,0
561,17/09/2023 , 06:15:00,0,0
562,17/09/2023 , 06:30:00,0,0
563,17/09/2023 , 06:45:00,0,0
564,17/09/2023 , 07:00:00,18,1.12
565,17/09/2023 , 07:15:00,53,3.29
566,17/09/2023 , 07:30:00,101,6.26
567,17/09/2023 , 07:45:00,143,8.86
568,17/09/2023 , 08:00:00,182,11.28
569,17/09/2023 , 08:15:00,217,13.45
570,17/09/2023 , 08:30:00,254,15.75
571,17/09/2023 , 08:45:00,284,17.61
572,17/09/2023 , 09:00:00,313,19.4
573,17/09/2023 , 09:15:00,330,20.46
574,17/09/2023 , 09:30:00,373,23.12
575,17/09/2023 , 09:45:00,421,26.1
576,17/09/2023 , 10:00:00,465,28.83
577,17/09/2023 , 10:15:00,509,31.55
578,17/09/2023 , 10:30:00,558,34.59
579,17/09/2023 , 10:45:00,613,38
580,17/09/2023 , 11:00:00,693,42.96
581,17/09/2023 , 11:15:00,793,49.16
582,17/09/2023 , 11:30:00,896,55.54
583,17/09/2023 , 11:45:00,1097,68
584,17/09/2023 , 12:00:00,1524,94.47
585,17/09/2023 , 12:15:00,2477,153.55
586,17/09/2023 , 12:30:00,3465,214.8
587,17/09/2023 , 12:45:00,3997,247.77
588,17/09/2023 , 13:00:00,3990,247.34
589,17/09/2023 , 13:15:00,3830,237.42
590,17/09/2023 , 13:30:00,3369,208.84
591,17/09/2023 , 13:45:00,3090,191.55
592,17/09/2023 , 14:00:00,1712,106.13
593,17/09/2023 , 14:15:00,1828,113.32
594,17/09/2023 , 14:30:00,1882,116.67
595,17/09/2023 , 14:45:00,2991,185.41
596,17/09/2023 , 15:00:00,2759,171.03
597,17/09/2023 , 15:15:00,1649,102.22
598,17/09/2023 , 15:30:00,1310,81.21
599,17/09/2023 , 15:45:00,1531,94.91
600,17/09/2023 , 16:00:00,1294,80.22
601,17/09/2023 , 16:15:00,1223,75.81
602,17/09/2023 , 16:30:00,1212,75.13
603,17/09/2023 , 16:45:00,975,60.44
604,17/09/2023 , 17:00:00,965,59.82
605,17/09/2023 , 17:15:00,606,37.57
606,17/09/2023 , 17:30:00,502,31.12
607,17/09/2023 , 17:45:00,449,27.83
608,17/09/2023 , 18:00:00,453,28.08
609,17/09/2023 , 18:15:00,379,23.49
610,17/09/2023 , 18:30:00,256,15.87
611,17/09/2023 , 18:45:00,173,10.72
