Site Name ,SANT-ANGELO-2M
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,13341


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

253,14/09/2023 , 01:15:00,0,0
254,14/09/2023 , 01:30:00,0,0
255,14/09/2023 , 01:45:00,0,0
256,14/09/2023 , 02:00:00,0,0
257,14/09/2023 , 02:15:00,0,0
258,14/09/2023 , 02:30:00,0,0
259,14/09/2023 , 02:45:00,0,0
260,14/09/2023 , 03:00:00,0,0
261,14/09/2023 , 03:15:00,0,0
262,14/09/2023 , 03:30:00,0,0
263,14/09/2023 , 03:45:00,0,0
264,14/09/2023 , 04:00:00,0,0
265,14/09/2023 , 04:15:00,0,0
266,14/09/2023 , 04:30:00,0,0
267,14/09/2023 , 04:45:00,0,0
268,14/09/2023 , 05:00:00,0,0
269,14/09/2023 , 05:15:00,0,0
270,14/09/2023 , 05:30:00,0,0
271,14/09/2023 , 05:45:00,0,0
272,14/09/2023 , 06:00:00,0,0
273,14/09/2023 , 06:15:00,0,0
274,14/09/2023 , 06:30:00,0,0
275,14/09/2023 , 06:45:00,2,0.12
276,14/09/2023 , 07:00:00,42,2.45
277,14/09/2023 , 07:15:00,117,6.83
278,14/09/2023 , 07:30:00,231,13.49
279,14/09/2023 , 07:45:00,373,21.79
280,14/09/2023 , 08:00:00,354,20.68
281,14/09/2023 , 08:15:00,521,30.44
282,14/09/2023 , 08:30:00,767,44.81
283,14/09/2023 , 08:45:00,1074,62.74
284,14/09/2023 , 09:00:00,1165,68.06
285,14/09/2023 , 09:15:00,1340,78.28
286,14/09/2023 , 09:30:00,1704,99.54
287,14/09/2023 , 09:45:00,2116,123.61
288,14/09/2023 , 10:00:00,2492,145.58
289,14/09/2023 , 10:15:00,2520,147.21
290,14/09/2023 , 10:30:00,2748,160.53
291,14/09/2023 , 10:45:00,3143,183.61
292,14/09/2023 , 11:00:00,2564,149.78
293,14/09/2023 , 11:15:00,3914,228.65
294,14/09/2023 , 11:30:00,6629,387.25
295,14/09/2023 , 11:45:00,7031,410.74
296,14/09/2023 , 12:00:00,5976,349.11
297,14/09/2023 , 12:15:00,5738,335.2
