Site Name ,CHIANE-AMBIENT
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,13339


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

221,22/06/2023 , 02:25:00,0,0
222,22/06/2023 , 02:30:00,0,0
223,22/06/2023 , 02:35:00,0,0
224,22/06/2023 , 02:40:00,0,0
225,22/06/2023 , 02:45:00,0,0
226,22/06/2023 , 02:50:00,0,0
227,22/06/2023 , 02:55:00,0,0
228,22/06/2023 , 03:00:00,0,0
229,22/06/2023 , 03:05:00,0,0
230,22/06/2023 , 03:10:00,0,0
231,22/06/2023 , 03:15:00,0,0
232,22/06/2023 , 03:20:00,0,0
233,22/06/2023 , 03:25:00,0,0
234,22/06/2023 , 03:30:00,0,0
235,22/06/2023 , 03:35:00,0,0
236,22/06/2023 , 03:40:00,0,0
237,22/06/2023 , 03:45:00,0,0
238,22/06/2023 , 03:50:00,0,0
239,22/06/2023 , 03:55:00,0,0
240,22/06/2023 , 04:00:00,0,0
241,22/06/2023 , 04:05:00,0,0
242,22/06/2023 , 04:10:00,0,0
243,22/06/2023 , 04:15:00,0,0
244,22/06/2023 , 04:20:00,0,0
245,22/06/2023 , 04:25:00,0,0
246,22/06/2023 , 04:30:00,0,0
247,22/06/2023 , 04:35:00,0,0
248,22/06/2023 , 04:40:00,0,0
249,22/06/2023 , 04:45:00,0,0
250,22/06/2023 , 04:50:00,0,0
251,22/06/2023 , 04:55:00,0,0
252,22/06/2023 , 05:00:00,0,0
253,22/06/2023 , 05:05:00,0,0
254,22/06/2023 , 05:10:00,0,0
255,22/06/2023 , 05:15:00,0,0
256,22/06/2023 , 05:20:00,0,0
257,22/06/2023 , 05:25:00,0,0
258,22/06/2023 , 05:30:00,0,0
259,22/06/2023 , 05:35:00,0,0
260,22/06/2023 , 05:40:00,0,0
261,22/06/2023 , 05:45:00,0,0
262,22/06/2023 , 05:50:00,0,0
263,22/06/2023 , 05:55:00,0,0
264,22/06/2023 , 06:00:00,0,0
265,22/06/2023 , 06:05:00,0,0
266,22/06/2023 , 06:10:00,0,0
267,22/06/2023 , 06:15:00,0,0
268,22/06/2023 , 06:20:00,0,0
269,22/06/2023 , 06:25:00,0,0
270,22/06/2023 , 06:30:00,0,0
271,22/06/2023 , 06:35:00,0,0
272,22/06/2023 , 06:40:00,0,0
273,22/06/2023 , 06:45:00,0,0
274,22/06/2023 , 06:50:00,0,0
275,22/06/2023 , 06:55:00,0,0
276,22/06/2023 , 07:00:00,0,0
277,22/06/2023 , 07:05:00,0,0
278,22/06/2023 , 07:10:00,0,0
279,22/06/2023 , 07:15:00,0,0
280,22/06/2023 , 07:20:00,0,0
281,22/06/2023 , 07:25:00,0,0
282,22/06/2023 , 07:30:00,0,0
283,22/06/2023 , 07:35:00,0,0
284,22/06/2023 , 07:40:00,0,0
285,22/06/2023 , 07:45:00,0,0
286,22/06/2023 , 07:50:00,0,0
287,22/06/2023 , 07:55:00,0,0
288,22/06/2023 , 08:00:00,0,0
289,22/06/2023 , 08:05:00,0,0
290,22/06/2023 , 08:10:00,0,0
291,22/06/2023 , 08:15:00,0,0
292,22/06/2023 , 08:20:00,0,0
293,22/06/2023 , 08:25:00,0,0
294,22/06/2023 , 08:30:00,0,0
295,22/06/2023 , 08:35:00,0,0
296,22/06/2023 , 08:40:00,0,0
297,22/06/2023 , 08:45:00,0,0
298,22/06/2023 , 08:50:00,0,0
299,22/06/2023 , 08:55:00,0,0
300,22/06/2023 , 09:00:00,0,0
301,22/06/2023 , 09:05:00,0,0
302,22/06/2023 , 09:10:00,0,0
303,22/06/2023 , 09:15:00,0,0
304,22/06/2023 , 09:20:00,0,0
305,22/06/2023 , 09:25:00,0,0
306,22/06/2023 , 09:30:00,0,0
307,22/06/2023 , 09:35:00,0,0
308,22/06/2023 , 09:40:00,0,0
309,22/06/2023 , 09:45:00,0,0
310,22/06/2023 , 09:50:00,0,0
311,22/06/2023 , 09:55:00,0,0
