Site Name ,CHIANE-AMBIENT
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,13339


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

148,19/09/2023 , 20:20:00,0,0
149,19/09/2023 , 20:25:00,0,0
150,19/09/2023 , 20:30:00,0,0
151,19/09/2023 , 20:35:00,0,0
152,19/09/2023 , 20:40:00,0,0
153,19/09/2023 , 20:45:00,0,0
154,19/09/2023 , 20:50:00,0,0
155,19/09/2023 , 20:55:00,0,0
156,19/09/2023 , 21:00:00,0,0
157,19/09/2023 , 21:05:00,0,0
158,19/09/2023 , 21:10:00,0,0
159,19/09/2023 , 21:15:00,0,0
160,19/09/2023 , 21:20:00,0,0
161,19/09/2023 , 21:25:00,0,0
162,19/09/2023 , 21:30:00,0,0
163,19/09/2023 , 21:35:00,0,0
164,19/09/2023 , 21:40:00,0,0
165,19/09/2023 , 21:45:00,0,0
166,19/09/2023 , 21:50:00,0,0
167,19/09/2023 , 21:55:00,0,0
168,19/09/2023 , 22:00:00,0,0
169,19/09/2023 , 22:05:00,0,0
170,19/09/2023 , 22:10:00,0,0
171,19/09/2023 , 22:15:00,0,0
172,19/09/2023 , 22:20:00,0,0
173,19/09/2023 , 22:25:00,0,0
174,19/09/2023 , 22:30:00,0,0
175,19/09/2023 , 22:35:00,0,0
176,19/09/2023 , 22:40:00,0,0
177,19/09/2023 , 22:45:00,0,0
178,19/09/2023 , 22:50:00,0,0
179,19/09/2023 , 22:55:00,0,0
180,19/09/2023 , 23:00:00,0,0
181,19/09/2023 , 23:05:00,0,0
182,19/09/2023 , 23:10:00,0,0
183,19/09/2023 , 23:15:00,0,0
184,19/09/2023 , 23:20:00,0,0
185,19/09/2023 , 23:25:00,0,0
186,19/09/2023 , 23:30:00,0,0
187,19/09/2023 , 23:35:00,0,0
188,19/09/2023 , 23:40:00,0,0
189,19/09/2023 , 23:45:00,0,0
190,19/09/2023 , 23:50:00,0,0
191,19/09/2023 , 23:55:00,0,0
192,19/09/2023 , 24:00:00,0,0
193,20/09/2023 , 00:05:00,0,0
194,20/09/2023 , 00:10:00,0,0
195,20/09/2023 , 00:15:00,0,0
196,20/09/2023 , 00:20:00,0,0
197,20/09/2023 , 00:25:00,0,0
198,20/09/2023 , 00:30:00,0,0
199,20/09/2023 , 00:35:00,0,0
200,20/09/2023 , 00:40:00,0,0
201,20/09/2023 , 00:45:00,0,0
202,20/09/2023 , 00:50:00,0,0
203,20/09/2023 , 00:55:00,0,0
204,20/09/2023 , 01:00:00,0,0
205,20/09/2023 , 01:05:00,0,0
206,20/09/2023 , 01:10:00,0,0
207,20/09/2023 , 01:15:00,0,0
208,20/09/2023 , 01:20:00,0,0
209,20/09/2023 , 01:25:00,0,0
210,20/09/2023 , 01:30:00,0,0
211,20/09/2023 , 01:35:00,0,0
212,20/09/2023 , 01:40:00,0,0
213,20/09/2023 , 01:45:00,0,0
214,20/09/2023 , 01:50:00,0,0
215,20/09/2023 , 01:55:00,0,0
216,20/09/2023 , 02:00:00,0,0
217,20/09/2023 , 02:05:00,0,0
218,20/09/2023 , 02:10:00,0,0
219,20/09/2023 , 02:15:00,0,0
220,20/09/2023 , 02:20:00,0,0
221,20/09/2023 , 02:25:00,0,0
222,20/09/2023 , 02:30:00,0,0
223,20/09/2023 , 02:35:00,0,0
224,20/09/2023 , 02:40:00,0,0
225,20/09/2023 , 02:45:00,0,0
226,20/09/2023 , 02:50:00,0,0
227,20/09/2023 , 02:55:00,0,0
228,20/09/2023 , 03:00:00,0,0
229,20/09/2023 , 03:05:00,0,0
230,20/09/2023 , 03:10:00,0,0
231,20/09/2023 , 03:15:00,0,0
232,20/09/2023 , 03:20:00,0,0
233,20/09/2023 , 03:25:00,0,0
234,20/09/2023 , 03:30:00,0,0
235,20/09/2023 , 03:35:00,0,0
236,20/09/2023 , 03:40:00,0,0
237,20/09/2023 , 03:45:00,0,0
238,20/09/2023 , 03:50:00,0,0
239,20/09/2023 , 03:55:00,0,0
240,20/09/2023 , 04:00:00,0,0
241,20/09/2023 , 04:05:00,0,0
242,20/09/2023 , 04:10:00,0,0
243,20/09/2023 , 04:15:00,0,0
244,20/09/2023 , 04:20:00,0,0
245,20/09/2023 , 04:25:00,0,0
246,20/09/2023 , 04:30:00,0,0
247,20/09/2023 , 04:35:00,0,0
248,20/09/2023 , 04:40:00,0,0
249,20/09/2023 , 04:45:00,0,0
250,20/09/2023 , 04:50:00,0,0
251,20/09/2023 , 04:55:00,0,0
252,20/09/2023 , 05:00:00,0,0
253,20/09/2023 , 05:05:00,0,0
254,20/09/2023 , 05:10:00,0,0
255,20/09/2023 , 05:15:00,0,0
256,20/09/2023 , 05:20:00,0,0
257,20/09/2023 , 05:25:00,0,0
258,20/09/2023 , 05:30:00,0,0
259,20/09/2023 , 05:35:00,0,0
260,20/09/2023 , 05:40:00,0,0
261,20/09/2023 , 05:45:00,0,0
262,20/09/2023 , 05:50:00,0,0
263,20/09/2023 , 05:55:00,0,0
264,20/09/2023 , 06:00:00,0,0
265,20/09/2023 , 06:05:00,0,0
266,20/09/2023 , 06:10:00,0,0
267,20/09/2023 , 06:15:00,0,0
268,20/09/2023 , 06:20:00,0,0
269,20/09/2023 , 06:25:00,0,0
270,20/09/2023 , 06:30:00,0,0
271,20/09/2023 , 06:35:00,0,0
272,20/09/2023 , 06:40:00,0,0
273,20/09/2023 , 06:45:00,0,0
274,20/09/2023 , 06:50:00,0,0
275,20/09/2023 , 06:55:00,0,0
276,20/09/2023 , 07:00:00,0,0
277,20/09/2023 , 07:05:00,0,0
278,20/09/2023 , 07:10:00,0,0
279,20/09/2023 , 07:15:00,0,0
280,20/09/2023 , 07:20:00,0,0
281,20/09/2023 , 07:25:00,0,0
282,20/09/2023 , 07:30:00,0,0
283,20/09/2023 , 07:35:00,0,0
284,20/09/2023 , 07:40:00,0,0
285,20/09/2023 , 07:45:00,0,0
286,20/09/2023 , 07:50:00,0,0
287,20/09/2023 , 07:55:00,0,0
288,20/09/2023 , 08:00:00,0,0
289,20/09/2023 , 08:05:00,0,0
290,20/09/2023 , 08:10:00,0,0
291,20/09/2023 , 08:15:00,0,0
292,20/09/2023 , 08:20:00,0,0
293,20/09/2023 , 08:25:00,0,0
294,20/09/2023 , 08:30:00,0,0
295,20/09/2023 , 08:35:00,0,0
